id,publication,state,code,col,row,img,colEnd,rowEnd,area
1,New York Times 2,Alaska,AK,3,1,green.jpg,5,2,3
48,New York Times 2,Maine,ME,13,1,green.jpg,13,1,1
25,New York Times 2,Wisconsin,WI,8,2,green.jpg,8,2,1
44,New York Times 2,Vermont,VT,12,2,green.jpg,12,2,1
49,New York Times 2,New Hampshire,NH,13,2,green.jpg,13,2,1
2,New York Times 2,Washington,WA,3,3,green.jpg,3,3,1
6,New York Times 2,Idaho,ID,4,3,green.jpg,4,3,1
10,New York Times 2,Montana,MT,5,3,green.jpg,5,3,1
14,New York Times 2,North Dakota,ND,6,3,green.jpg,6,3,1
20,New York Times 2,Minnesota,MN,7,3,green.jpg,7,3,1
26,New York Times 2,Illinois,IL,8,3,green.jpg,8,3,3
31,New York Times 2,Michigan,MI,9,3,green.jpg,9,3,0
40,New York Times 2,New York,NY,11,3,green.jpg,11,3,0
45,New York Times 2,Massachusetts,MA,12,3,green.jpg,12,3,0
3,New York Times 2,Oregon,OR,3,4,green.jpg,3,4,1
7,New York Times 2,Nevada,NV,4,4,vn.svg.png,4,4,2
11,New York Times 2,Wyoming,WY,5,4,green.jpg,5,4,0
15,New York Times 2,South Dakota,SD,6,4,france.png,6,4,1
21,New York Times 2,Iowa,IA,7,4,green.jpg,7,4,1
27,New York Times 2,Indiana,IN,8,4,green.jpg,8,4,0
32,New York Times 2,Ohio,OH,9,4,green.jpg,9,4,0
36,New York Times 2,Pennsylvania,PA,10,4,green.jpg,10,4,0
41,New York Times 2,New Jersey,NJ,11,4,green.jpg,11,4,1
46,New York Times 2,Connecticut,CT,12,4,green.jpg,12,4,1
50,New York Times 2,Rhode Island,RI,13,4,green.jpg,13,4,1
4,New York Times 2,California,CA,3,5,australia.png,3,5,1
8,New York Times 2,Utah,UT,4,5,green.jpg,4,5,0
12,New York Times 2,Colorado,CO,5,5,green.jpg,5,5,0
16,New York Times 2,Nebraska,NE,6,5,green.jpg,6,5,1
22,New York Times 2,Missouri,MO,7,5,green.jpg,7,5,1
28,New York Times 2,Kentucky,KY,8,5,green.jpg,8,5,0
33,New York Times 2,West Virginia,WV,9,5,green.jpg,9,5,0
37,New York Times 2,Virginia,VA,10,5,green.jpg,10,5,0
42,New York Times 2,Maryland,MD,11,5,green.jpg,11,5,1
47,New York Times 2,Delaware,DE,12,5,green.jpg,12,5,1
9,New York Times 2,Arizona,AZ,4,6,usa.png,4,6,1
13,New York Times 2,New Mexico,NM,5,6,green.jpg,5,6,1
17,New York Times 2,Kansas,KS,6,6,green.jpg,6,6,1
23,New York Times 2,Arkansas,AR,7,6,green.jpg,7,6,1
29,New York Times 2,Tennessee,TN,8,6,green.jpg,8,6,1
34,New York Times 2,North Carolina,NC,9,6,green.jpg,9,6,1
38,New York Times 2,South Carolina,SC,10,6,green.jpg,10,6,1
18,New York Times 2,Oklahoma,OK,6,7,green.jpg,6,7,1
24,New York Times 2,Louisiana,LA,7,7,green.jpg,7,7,1
30,New York Times 2,Mississippi,MS,8,7,green.jpg,8,7,1
35,New York Times 2,Alabama,AL,9,7,green.jpg,9,7,1
39,New York Times 2,Georgia,GA,10,7,green.jpg,10,7,2
5,New York Times 2,Hawaii,HI,3,8,green.jpg,3,8,1
19,New York Times 2,Texas,TX,6,8,green.jpg,6,8,1
43,New York Times 2,Florida,FL,11,8,green.jpg,11,8,0
99,New York Times 2,HN,HN,16,11,green.jpg,,,
